# ;Datum;Zeit;Breitengrad_wgs;Laengengrad_wgs
1064;29/12/2021;08:43;49.059317;13.28651
1065;07/09/2021;NA:NA;48.878836;13.567999
1067;01/09/2021;06:00;48.9339;13.43351
1068;27/10/2021;08:00;49.027093;13.341233
1069;26/01/2022;17:30;49.025947;13.340227
1070;02/05/2021;NA:NA;48.878765;13.566881
1071;06/01/2022;17:00;49.037438;13.307951
1072;06/09/2021;20:40;49.040821;13.303287
1073;21/06/2021;23:15;48.93469;13.33024
1074;11/11/2021;08:18;49.061031;13.286946
1075;13/04/2021;23:45;49.02769;13.347402
1076;20/07/2021;22:35;48.93469;13.33024
1077;15/02/2022;07:30;48.94485;13.40234
1078;29/12/2021;09:00;49.020679;13.329677
1079;22/12/2021;18:20;48.95534;13.34596
1080;17/12/2021;14:25;48.94485;13.40234
1081;10/01/2022;16:55;49.08875;13.213092
1082;10/02/2022;NA:NA;48.920755;13.439034
1083;01/02/2022;08:30;49.021427;13.328445
1084;05/10/2021;NA:NA;48.917029;13.425886
1085;09/06/2021;21:50;49.027292;13.329979
1086;05/10/2021;NA:NA;48.917029;13.425886
1087;11/11/2021;459:36:00;0;0
1088;17/12/2021;14:30;48.94485;13.40234
1089;01/12/2021;16:58;49.02246;13.32071
1090;07/12/2021;16:23;49.057169;13.278664
1091;10/02/2022;NA:NA;48.920755;13.439034
1092;02/08/2021;NA:NA;48.906336;13.552165
1094;27/01/2022;08:30;48.94485;13.40234
1095;09/06/2021;21:45;48.93469;13.33024
1096;05/11/2021;17:45;49.029283;13.318473
1097;03/01/2022;NA:NA;48.941036;13.55796
1098;01/02/2022;08:30;49.021427;13.328445
1099;01/12/2021;16:15;48.92721;13.37844
1100;04/04/2021;01:45;49.081334;13.236114
1101;03/01/2022;NA:NA;48.941036;13.55796
1102;29/01/2022;09:00;49.020679;13.329677
1103;19/01/2022;18:00;49.017194;13.325628
1105;10/09/2021;06:20;48.91574;13.47261
1106;01/08/2021;21:25;49.038392;13.303484
1107;17/08/2021;NA:NA;48.897455;13.559763
1108;27/01/2022;08:30;48.94485;13.40234
1109;07/09/2021;21:10;48.95139;13.34285
1110;28/01/2022;18:00;49.115174;13.214175
1111;15/07/2021;NA:NA;48.883438;13.538517
1112;02/12/2021;16:55;48.95139;13.34285
1113;14/06/2021;NA:NA;48.883708;13.546005
1114;15/11/2021;08:50;49.060988;13.286511
1115;07/01/2022;19:30;49.006602;13.380992
1116;27/12/2021;NA:NA;48.918679;13.443298
1117;11/06/2021;10:15;48.9339;13.43351
1118;19/11/2021;08:42;49.059317;13.28651
1119;13/01/2022;17:30;49.10104;13.206077
1120;25/01/2022;NA:NA;48.913175;13.424078
1121;15/11/2021;06:55;48.9339;13.43351
1122;24/02/2022;10:35;49.060492;13.286164
1123;19/11/2021;08:28;49.059317;13.28651
1124;27/12/2021;16:40;48.900379;13.4768
1125;04/06/2021;21:45;48.900379;13.4768
